# Time (s),Elevator (deg),Throttle,Pitch Rate (deg/s),Pitch Angle (deg),Altitude (m)
1.610000000000000098e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.370449157768576143e+01,-8.198246434425514906e+01,8.577664489146276594e+01
1.620000000000000107e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.497077701947141648e+01,-8.203041883389231259e+01,8.557375835738085357e+01
1.630000000000000115e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.623172692013468676e+01,-8.208658618975074717e+01,8.536946743134083704e+01
1.640000000000000124e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.747773551027086114e+01,-8.215048352366007123e+01,8.516377758522455110e+01
1.650000000000000133e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.869974834116036533e+01,-8.222151928851256741e+01,8.495669399784193843e+01
1.660000000000000142e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.988932574197407277e+01,-8.229899869589085881e+01,8.474822157786215371e+01
1.669999999999999929e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.103869948100355103e+01,-8.238213020260826625e+01,8.453836498875274685e+01
1.679999999999999938e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.214082207836436567e+01,-8.247003313134889879e+01,8.432712867542470292e+01
1.689999999999999947e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.318940828774542595e+01,-8.256174650094497736e+01,8.411451689225019379e+01
1.699999999999999956e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.417896833730002371e+01,-8.265623914945956585e+01,8.390053373209420329e+01
1.709999999999999964e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.510483259418271018e+01,-8.275242123465332611e+01,8.368518315598151958e+01
1.719999999999999973e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.596316739338125501e+01,-8.284915718715856769e+01,8.346846902300860904e+01
1.729999999999999982e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.675098184973284887e+01,-8.294528016659151604e+01,8.325039512010503984e+01
1.739999999999999991e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.746612555335621408e+01,-8.303960802443259581e+01,8.303096519125367081e+01
1.750000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.810727713494395630e+01,-8.313093398869330031e+01,8.281018296579163973e+01
1.760000000000000009e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.867404352860956607e+01,-8.321798723992169755e+01,8.258805227200821264e+01
1.770000000000000018e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.916720151244659220e+01,-8.329951005271102815e+01,8.236457716102819404e+01
1.780000000000000027e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.958836806392278973e+01,-8.337435411467271251e+01,8.213976164837642102e+01
1.790000000000000036e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.993988674896298008e+01,-8.344147998437115632e+01,8.191360978620564026e+01
1.800000000000000044e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.022474327019517304e+01,-8.349996582883001395e+01,8.168612570804543793e+01
1.810000000000000053e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.044649216596770813e+01,-8.354901934565745591e+01,8.145731365797996659e+01
1.820000000000000062e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.060918573978245760e+01,-8.358798946864718005e+01,8.122717801063089382e+01
1.830000000000000071e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.071730180692969725e+01,-8.361637564331346084e+01,8.099572328530526022e+01
1.840000000000000080e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.077566969622902349e+01,-8.363383323248399392e+01,8.076295415611048156e+01
